Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Components,Labels,Labels,Labels,Status
Story,"[S59] As a user, I want to tag media with the Brand ID and custom tags, so that it's organized and findable.","As a user, I want to tag media with the Brand ID and custom tags, so that it's organized and findable.  ||  Module: Media Management | Epic: 4.C Organize & Find | PRD Story #59 | Must-have",,4.C Organize & Find,High,Media Management,MVP,Must,PRD-S59,To Do
Story,"[S60] As a user, I want to mark each media item Public or Private, so that I control what partners and owners can see.","As a user, I want to mark each media item Public or Private, so that I control what partners and owners can see.  ||  Module: Media Management | Epic: 4.C Organize & Find | PRD Story #60 | Must-have",,4.C Organize & Find,High,Media Management,MVP,Must,PRD-S60,To Do
Story,"[S61] As a user, I want to browse, search, and filter the media gallery (by animal, Brand ID, type), so that I can find footage quickly.","As a user, I want to browse, search, and filter the media gallery (by animal, Brand ID, type), so that I can find footage quickly.  ||  Module: Media Management | Epic: 4.C Organize & Find | PRD Story #61 | Must-have",,4.C Organize & Find,High,Media Management,MVP,Must,PRD-S61,To Do
Story,"[S62] As a user, I want to see all media for a given animal in one place from its profile, so that the animal's record is complete.","As a user, I want to see all media for a given animal in one place from its profile, so that the animal's record is complete.  ||  Module: Media Management | Epic: 4.C Organize & Find | PRD Story #62 | Must-have",,4.C Organize & Find,High,Media Management,MVP,Must,PRD-S62,To Do
Story,"[S63] As a user, I want media items to show key context at a glance (animal name, Brand ID, status, owner, date), so that I can scan the gallery efficiently.","As a user, I want media items to show key context at a glance (animal name, Brand ID, status, owner, date), so that I can scan the gallery efficiently.  ||  Module: Media Management | Epic: 4.C Organize & Find | PRD Story #63 | Should-have",,4.C Organize & Find,Medium,Media Management,MVP,Should,PRD-S63,To Do
Story,"[S107] As a user, I want to mark one photo as an animal's favorite/cover image, so that it represents the animal in roster tables.","As a user, I want to mark one photo as an animal's **favorite/cover image**, so that it represents the animal in roster tables. *(Per Solution Lab 4.)*  ||  Module: Media Management | Epic: 4.C Organize & Find | PRD Story #107 | Should-have",,4.C Organize & Find,Medium,Media Management,MVP,Should,PRD-S107,To Do
Story,"[S108] As a user, I want to gather a set of media and share the collection with a specific contact from the media page, so that I can send footage to a stakeholder directly.","As a user, I want to gather a set of media and **share the collection with a specific contact** from the media page, so that I can send footage to a stakeholder directly. *(Per Design Review 3 — likely post-MVP; see Open Question 12.)*  ||  Module: Media Management | Epic: 4.C Organize & Find | PRD Story #108 | Should-have",,4.C Organize & Find,Medium,Media Management,MVP,Should,PRD-S108,To Do
Story,"[S64] As a partner or owner, I want to leave threaded comments on an animal profile or media item (e.g., ""Looks great today!""), so that I can engage without texting the rancher.","As a partner or owner, I want to leave threaded comments on an animal profile or media item (e.g., ""Looks great today!""), so that I can engage without texting the rancher.  ||  Module: Media Management | Epic: 4.D Comments | PRD Story #64 | Must-have",,4.D Comments,High,Media Management,MVP,Must,PRD-S64,To Do
Story,"[S65] As a user, I want a personalized dashboard showing my key metrics (active animals, upcoming events, sold animals), so that I understand my operation at a glance.","As a user, I want a personalized dashboard showing my key metrics (active animals, upcoming events, sold animals), so that I understand my operation at a glance.  ||  Module: Dashboard & Notifications | Epic: 5.A Home Dashboard | PRD Story #65 | Must-have",,5.A Home Dashboard,High,Dashboard & Notifications,MVP,Must,PRD-S65,To Do
Story,"[S68] As a new user, I want a Day-1 welcome and a setup checklist, so that I know what to do to get fully set up.","As a new user, I want a Day-1 welcome and a setup checklist, so that I know what to do to get fully set up.  ||  Module: Dashboard & Notifications | Epic: 5.A Home Dashboard | PRD Story #68 | Must-have",,5.A Home Dashboard,High,Dashboard & Notifications,MVP,Must,PRD-S68,To Do
Story,"[S69] As a user, I want clear empty states when there's nothing to show, so that the product never feels broken.","As a user, I want clear empty states when there's nothing to show, so that the product never feels broken.  ||  Module: Dashboard & Notifications | Epic: 5.A Home Dashboard | PRD Story #69 | Must-have",,5.A Home Dashboard,High,Dashboard & Notifications,MVP,Must,PRD-S69,To Do
Story,"[S71] As a user with more than one location, I want to switch the dashboard's location context, so that I can focus on one operation at a time.","As a user with more than one location, I want to switch the dashboard's location context, so that I can focus on one operation at a time. *(Ranch → location per Solution Lab 4 / Design Review 2.)*  ||  Module: Dashboard & Notifications | Epic: 5.A Home Dashboard | PRD Story #71 | Should-have",,5.A Home Dashboard,Medium,Dashboard & Notifications,MVP,Should,PRD-S71,To Do
Story,"[S72] As a rancher, I want stakeholders to be notified automatically when I post public media or a notable update, so that I no longer have to text and email everyone.","As a rancher, I want stakeholders to be notified automatically when I post public media or a notable update, so that I no longer have to text and email everyone.  ||  Module: Dashboard & Notifications | Epic: 5.B Stakeholder Notifications | PRD Story #72 | Must-have",,5.B Stakeholder Notifications,High,Dashboard & Notifications,MVP,Must,PRD-S72,To Do
Story,"[S73] As a partner/owner, I want to receive a notification (push, SMS, or email) when there's an update on an animal I'm associated with, so that I stay informed without asking.","As a partner/owner, I want to receive a notification (push, SMS, or email) when there's an update on an animal I'm associated with, so that I stay informed without asking.  ||  Module: Dashboard & Notifications | Epic: 5.B Stakeholder Notifications | PRD Story #73 | Must-have",,5.B Stakeholder Notifications,High,Dashboard & Notifications,MVP,Must,PRD-S73,To Do
Story,"[S74] As a user, I want notifications to respect an animal's Public/Private visibility, so that private media never triggers a broadcast.","As a user, I want notifications to respect an animal's Public/Private visibility, so that private media never triggers a broadcast.  ||  Module: Dashboard & Notifications | Epic: 5.B Stakeholder Notifications | PRD Story #74 | Should-have",,5.B Stakeholder Notifications,Medium,Dashboard & Notifications,MVP,Should,PRD-S74,To Do
Story,"[S75] As a user, I want to see upcoming and past events in separate tabs with date, name, location, and associated animals, so that I can plan and review.","As a user, I want to see upcoming and past events in separate tabs with date, name, location, and associated animals, so that I can plan and review.  ||  Module: Events & Competitions | Epic: 6.A Event Roster | PRD Story #75 | Must-have",,6.A Event Roster,High,Events & Competitions,MVP,Must,PRD-S75,To Do
Story,"[S76] As a user, I want to add an event manually, so that my calendar reflects reality.","As a user, I want to add an event manually, so that my calendar reflects reality.  ||  Module: Events & Competitions | Epic: 6.A Event Roster | PRD Story #76 | Must-have",,6.A Event Roster,High,Events & Competitions,MVP,Must,PRD-S76,To Do
Story,"[S77] As a user, I want to associate animals with an event (including bulk ""add to event"" from Inventory), so that I track which animals are competing where.","As a user, I want to associate animals with an event (including bulk ""add to event"" from Inventory), so that I track which animals are competing where.  ||  Module: Events & Competitions | Epic: 6.A Event Roster | PRD Story #77 | Must-have",,6.A Event Roster,High,Events & Competitions,MVP,Must,PRD-S77,To Do
Story,"[S78] As a user, I want to import and export events, so that I can move data in and out efficiently.","As a user, I want to import and export events, so that I can move data in and out efficiently.  ||  Module: Events & Competitions | Epic: 6.A Event Roster | PRD Story #78 | Must-have",,6.A Event Roster,High,Events & Competitions,MVP,Must,PRD-S78,To Do
Story,"[S112] As a user, I want event data pulled in from the external event source (via extraction/scraping), so that I don't have to enter every event by hand.","As a user, I want event data pulled in from the external event source (via extraction/scraping), so that I don't have to enter every event by hand. *(Moved into MVP per Solution Lab 4; no event API exists — see Open Question 13.)*  ||  Module: Events & Competitions | Epic: 6.A Event Roster | PRD Story #112 | Must-have",,6.A Event Roster,High,Events & Competitions,MVP,Must,PRD-S112,To Do
Story,"[S79] As a user, I want events to be paginated and searchable, so that a long history stays manageable.","As a user, I want events to be paginated and searchable, so that a long history stays manageable.  ||  Module: Events & Competitions | Epic: 6.A Event Roster | PRD Story #79 | Should-have",,6.A Event Roster,Medium,Events & Competitions,MVP,Should,PRD-S79,To Do
Story,"[S111] As a mobile user side-scrolling the events table, I want the date column to stay sticky, so that rows stay readable.","As a mobile user side-scrolling the events table, I want the **date column to stay sticky**, so that rows stay readable. *(UI behavior per Design Review 3.)*  ||  Module: Events & Competitions | Epic: 6.A Event Roster | PRD Story #111 | Should-have",,6.A Event Roster,Medium,Events & Competitions,MVP,Should,PRD-S111,To Do
Story,"[S80] As a user, I want to log that an animal competed at an event, so that its participation is recorded.","As a user, I want to log that an animal competed at an event, so that its participation is recorded.  ||  Module: Events & Competitions | Epic: 6.B Competition Tracking | PRD Story #80 | Must-have",,6.B Competition Tracking,High,Events & Competitions,MVP,Must,PRD-S80,To Do
Story,"[S81] As a partner/owner, I want competition activity to appear in Recent Activity and on the animal's profile, so that I can follow performance.","As a partner/owner, I want competition activity to appear in Recent Activity and on the animal's profile, so that I can follow performance.  ||  Module: Events & Competitions | Epic: 6.B Competition Tracking | PRD Story #81 | Must-have",,6.B Competition Tracking,High,Events & Competitions,MVP,Must,PRD-S81,To Do
Story,"[S83] As a user, I want to edit my profile (photo, name, contact email), so that my account reflects who I am.","As a user, I want to edit my profile (photo, name, contact email), so that my account reflects who I am.  ||  Module: Settings & Configuration | Epic: 7.A Profile & Location | PRD Story #83 | Must-have",,7.A Profile & Location,High,Settings & Configuration,MVP,Must,PRD-S83,To Do
Story,"[S84] As a user, I want to edit my operation details (name, state, phone, website), so that my operation info is correct.","As a user, I want to edit my operation details (name, state, phone, website), so that my operation info is correct.  ||  Module: Settings & Configuration | Epic: 7.A Profile & Location | PRD Story #84 | Must-have",,7.A Profile & Location,High,Settings & Configuration,MVP,Must,PRD-S84,To Do
Story,"[S113] As a user, I want to manage my locations (the places I keep animals), so that inventory and ""change location"" reflect reality.","As a user, I want to manage my **locations** (the places I keep animals), so that inventory and ""change location"" reflect reality. *(Replaces the cut Ranch page — per Solution Lab 4.)*  ||  Module: Settings & Configuration | Epic: 7.A Profile & Location | PRD Story #113 | Must-have",,7.A Profile & Location,High,Settings & Configuration,MVP,Must,PRD-S113,To Do
Story,"[S114] As a user, I want a unique Ranch ID in my settings, so that partners can be linked to my ranch across operations.","As a user, I want a unique **Ranch ID** in my settings, so that partners can be linked to my ranch across operations. *(Per Design Review 3.)*  ||  Module: Settings & Configuration | Epic: 7.A Profile & Location | PRD Story #114 | Must-have",,7.A Profile & Location,High,Settings & Configuration,MVP,Must,PRD-S114,To Do
Story,"[S86] As a user, I want to customize animal types (Bull, Cow, Heifer, Calf, Embryos, …), so that the roster matches my operation.","As a user, I want to customize animal types (Bull, Cow, Heifer, Calf, **Embryos**, …), so that the roster matches my operation. *(Embryos per Solution Lab 3.)*  ||  Module: Settings & Configuration | Epic: 7.B Roster Taxonomy | PRD Story #86 | Must-have",,7.B Roster Taxonomy,High,Settings & Configuration,MVP,Must,PRD-S86,To Do
Story,"[S87] As a user, I want to customize animal statuses, so that the lifecycle labels fit how I work.","As a user, I want to customize animal statuses, so that the lifecycle labels fit how I work.  ||  Module: Settings & Configuration | Epic: 7.B Roster Taxonomy | PRD Story #87 | Must-have",,7.B Roster Taxonomy,High,Settings & Configuration,MVP,Must,PRD-S87,To Do
Story,"[S88] As a user, I want to manage bloodlines/custom labels, so that lineage is consistent across my animals.","As a user, I want to manage bloodlines/custom labels, so that lineage is consistent across my animals.  ||  Module: Settings & Configuration | Epic: 7.B Roster Taxonomy | PRD Story #88 | Must-have",,7.B Roster Taxonomy,High,Settings & Configuration,MVP,Must,PRD-S88,To Do
Story,"[S89] As a user, I want system-critical statuses and basic types to be protected from deletion, so that core lifecycle behavior stays intact.","As a user, I want system-critical **statuses and basic types** to be protected from deletion, so that core lifecycle behavior stays intact. *(Locked basic types added per Design Review 3.)*  ||  Module: Settings & Configuration | Epic: 7.B Roster Taxonomy | PRD Story #89 | Must-have",,7.B Roster Taxonomy,High,Settings & Configuration,MVP,Must,PRD-S89,To Do
Story,"[S90] As a user, I want a partner directory listing everyone with access — their name, email, phone, role, animal count, and status (Active/Pending), so that I know who's involved.","As a user, I want a partner directory listing everyone with access — their name, email, phone, role, animal count, and status (Active/Pending), so that I know who's involved.  ||  Module: Settings & Configuration | Epic: 7.C Partners & Permissions | PRD Story #90 | Must-have",,7.C Partners & Permissions,High,Settings & Configuration,MVP,Must,PRD-S90,To Do
Story,"[S91] As a user, I want to invite partners by email/SMS from the directory, so that I can grant access quickly.","As a user, I want to invite partners by email/SMS from the directory, so that I can grant access quickly.  ||  Module: Settings & Configuration | Epic: 7.C Partners & Permissions | PRD Story #91 | Must-have",,7.C Partners & Permissions,High,Settings & Configuration,MVP,Must,PRD-S91,To Do
Story,"[S92] As a user, I want roles (Rancher, Owner, Partner) to map to a clear permissions matrix (e.g., partners are read-only and own-only), so that people only see and do what they should.","As a user, I want roles (Rancher, Owner, Partner) to map to a clear permissions matrix (e.g., partners are read-only and own-only), so that people only see and do what they should.  ||  Module: Settings & Configuration | Epic: 7.C Partners & Permissions | PRD Story #92 | Must-have",,7.C Partners & Permissions,High,Settings & Configuration,MVP,Must,PRD-S92,To Do
Story,"[S93] As a user adding an animal, I want to assign an existing partner — or add and invite a new one inline if they're not in the list — so that ownership is captured at the moment I record the animal.","As a user adding an animal, I want to assign an existing partner — or add and invite a new one inline if they're not in the list — so that ownership is captured at the moment I record the animal.  ||  Module: Settings & Configuration | Epic: 7.C Partners & Permissions | PRD Story #93 | Must-have",,7.C Partners & Permissions,High,Settings & Configuration,MVP,Must,PRD-S93,To Do
Story,"[S94] As a user, I want to view and change my subscription and payment method from settings, so that I can manage billing in one place.","As a user, I want to view and change my subscription and payment method from settings, so that I can manage billing in one place. *(Detailed in Module 2.)*  ||  Module: Settings & Configuration | Epic: 7.D Subscription Management | PRD Story #94 | Must-have",,7.D Subscription Management,High,Settings & Configuration,MVP,Must,PRD-S94,To Do
